id,turn,money,won,loss,ties,res
0,0,50,0,0,0,[]
1,0,50,0,0,0,[]
2,0,50,0,0,0,[]
3,0,50,0,0,0,[]
4,0,50,0,0,0,[]
5,0,50,0,0,0,[]
6,0,50,0,0,0,[]
7,0,50,0,0,0,[]
0,1,48,0,0,1,['y']
1,1,49,0,0,1,['n']
2,1,47,0,1,0,['y']
3,1,48,0,0,1,['y']
4,1,50,1,0,0,['n']
5,1,48,0,0,1,['y']
6,1,48,0,0,1,['y']
7,1,49,0,0,1,['n']
0,2,47,0,0,2,"['y', 'n']"
1,2,47,0,0,2,"['n', 'y']"
2,2,45,0,1,1,"['y', 'y']"
3,2,48,1,0,1,"['y', 'n']"
4,2,49,1,0,1,"['n', 'n']"
5,2,48,1,0,1,"['y', 'n']"
6,2,45,0,1,1,"['y', 'y']"
7,2,46,0,1,1,"['n', 'y']"
0,3,46,0,0,3,"['y', 'n', 'n']"
1,3,45,0,0,3,"['n', 'y', 'y']"
2,3,43,0,1,2,"['y', 'y', 'y']"
3,3,45,1,1,1,"['y', 'n', 'y']"
4,3,47,1,0,2,"['n', 'n', 'y']"
5,3,47,1,0,2,"['y', 'n', 'n']"
6,3,43,0,1,2,"['y', 'y', 'y']"
7,3,46,1,1,1,"['n', 'y', 'n']"
0,4,46,1,0,3,"['y', 'n', 'n', 'n']"
1,4,45,1,0,3,"['n', 'y', 'y', 'n']"
2,4,40,0,2,2,"['y', 'y', 'y', 'y']"
3,4,42,1,2,1,"['y', 'n', 'y', 'y']"
4,4,47,2,0,2,"['n', 'n', 'y', 'n']"
5,4,47,2,0,2,"['y', 'n', 'n', 'n']"
6,4,40,0,2,2,"['y', 'y', 'y', 'y']"
7,4,43,1,2,1,"['n', 'y', 'n', 'y']"
0,5,44,1,0,4,"['y', 'n', 'n', 'n', 'y']"
1,5,44,1,0,4,"['n', 'y', 'y', 'n', 'n']"
2,5,38,0,2,3,"['y', 'y', 'y', 'y', 'y']"
3,5,39,1,3,1,"['y', 'n', 'y', 'y', 'y']"
4,5,44,2,1,2,"['n', 'n', 'y', 'n', 'y']"
5,5,46,2,0,3,"['y', 'n', 'n', 'n', 'n']"
6,5,40,1,2,2,"['y', 'y', 'y', 'y', 'n']"
7,5,43,2,2,1,"['n', 'y', 'n', 'y', 'n']"
0,6,44,2,0,4,"['y', 'n', 'n', 'n', 'y', 'n']"
1,6,43,1,0,5,"['n', 'y', 'y', 'n', 'n', 'n']"
2,6,37,0,2,4,"['y', 'y', 'y', 'y', 'y', 'n']"
3,6,38,1,3,2,"['y', 'n', 'y', 'y', 'y', 'n']"
4,6,43,2,1,3,"['n', 'n', 'y', 'n', 'y', 'n']"
5,6,45,2,0,4,"['y', 'n', 'n', 'n', 'n', 'n']"
6,6,39,1,2,3,"['y', 'y', 'y', 'y', 'n', 'n']"
7,6,40,2,3,1,"['n', 'y', 'n', 'y', 'n', 'y']"
0,7,43,2,0,5,"['y', 'n', 'n', 'n', 'y', 'n', 'n']"
1,7,42,1,0,6,"['n', 'y', 'y', 'n', 'n', 'n', 'n']"
2,7,37,1,2,4,"['y', 'y', 'y', 'y', 'y', 'n', 'n']"
3,7,37,1,3,3,"['y', 'n', 'y', 'y', 'y', 'n', 'n']"
4,7,42,2,1,4,"['n', 'n', 'y', 'n', 'y', 'n', 'n']"
5,7,44,2,0,5,"['y', 'n', 'n', 'n', 'n', 'n', 'n']"
6,7,38,1,2,4,"['y', 'y', 'y', 'y', 'n', 'n', 'n']"
7,7,37,2,4,1,"['n', 'y', 'n', 'y', 'n', 'y', 'y']"
0,8,40,2,1,5,"['y', 'n', 'n', 'n', 'y', 'n', 'n', 'y']"
1,8,42,2,0,6,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'n']"
2,8,36,1,2,5,"['y', 'y', 'y', 'y', 'y', 'n', 'n', 'n']"
3,8,34,1,4,3,"['y', 'n', 'y', 'y', 'y', 'n', 'n', 'y']"
4,8,41,2,1,5,"['n', 'n', 'y', 'n', 'y', 'n', 'n', 'n']"
5,8,43,2,0,6,"['y', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
6,8,37,1,2,5,"['y', 'y', 'y', 'y', 'n', 'n', 'n', 'n']"
7,8,37,3,4,1,"['n', 'y', 'n', 'y', 'n', 'y', 'y', 'n']"
0,9,37,2,2,5,"['y', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y']"
1,9,41,2,0,7,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n']"
2,9,36,2,2,5,"['y', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n']"
3,9,33,1,4,4,"['y', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n']"
4,9,40,2,1,6,"['n', 'n', 'y', 'n', 'y', 'n', 'n', 'n', 'n']"
5,9,42,2,0,7,"['y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n']"
6,9,36,1,2,6,"['y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'n']"
7,9,36,3,4,2,"['n', 'y', 'n', 'y', 'n', 'y', 'y', 'n', 'n']"
0,10,36,2,2,6,"['y', 'n', 'n', 'n', 'y', 'n', 'n', 'y', 'y', 'n']"
1,10,39,2,0,8,"['n', 'y', 'y', 'n', 'n', 'n', 'n', 'n', 'n', 'y']"
2,10,34,2,2,6,"['y', 'y', 'y', 'y', 'y', 'n', 'n', 'n', 'n', 'y']"
3,10,33,2,4,4,"['y', 'n', 'y', 'y', 'y', 'n', 'n', 'y', 'n', 'n']"
4,10,39,2,1,7,"['n', 'n', 'y', 'n', 'y', 'n', 'n', 'n', 'n', 'n']"
5,10,39,2,1,7,"['y', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'n', 'y']"
